Date,Open,High,Low,Close,Adj Close,Volume
1989/12/29,7.375,7.4375,7.375,7.421875,3.972369,2624000
1990/1/2,7.34375,7.484375,7.3125,7.484375,4.005819,5376000
1990/1/3,7.484375,7.53125,7.40625,7.515625,4.022547,7007200
1990/1/4,7.515625,7.546875,7.4375,7.53125,4.030909,4132000
1990/1/5,7.5,7.59375,7.453125,7.453125,3.989094,4864000
1990/1/8,7.453125,7.578125,7.4375,7.578125,4.055998,7173600
1990/1/9,7.578125,7.578125,7.34375,7.34375,3.930555,7431200
1990/1/10,7.359375,7.4375,7.1875,7.234375,3.872015,8620800
1990/1/11,7.3125,7.359375,7.28125,7.328125,3.922193,3319200
1990/1/12,7.25,7.296875,7.078125,7.109375,3.805111,8144800
1990/1/15,7.0625,7.140625,7.046875,7.078125,3.788387,4255200
1990/1/16,7.03125,7.078125,6.96875,7.078125,3.788387,8056800
1990/1/17,7.0625,7.109375,7.015625,7.015625,3.754933,7482400
1990/1/18,6.96875,7.09375,6.953125,7.078125,3.788387,4601600
1990/1/19,7.078125,7.1875,7.0625,7.171875,3.838563,5992000
1990/1/22,7.140625,7.15625,6.921875,6.921875,3.704756,4003200
1990/1/23,7.046875,7.046875,6.875,6.90625,3.696393,6219200
1990/1/24,6.75,6.84375,6.578125,6.78125,3.629491,11744000
1990/1/25,6.734375,6.828125,6.59375,6.625,3.545861,5124000
1990/1/26,6.625,6.734375,6.4375,6.609375,3.537499,6485600
1990/1/29,6.6875,6.703125,6.5625,6.609375,3.537499,4469600
1990/1/30,6.65625,6.671875,6.390625,6.5,3.47896,6475200
1990/1/31,6.53125,6.609375,6.484375,6.546875,3.504047,5142400
1990/2/1,6.78125,6.78125,6.640625,6.671875,3.570951,5934400
1990/2/2,6.6875,6.875,6.671875,6.828125,3.654579,4728000
1990/2/5,6.796875,6.828125,6.75,6.78125,3.629491,3910400
1990/2/6,6.8125,6.8125,6.65625,6.75,3.612764,3760800
1990/2/7,6.734375,6.90625,6.671875,6.84375,3.662942,5452000
1990/2/8,6.921875,7.03125,6.890625,6.96875,3.729845,8659200
1990/2/9,7,7.078125,6.984375,7.015625,3.754933,3249600
1990/2/12,7.03125,7.03125,6.9375,6.96875,3.729845,2563200
1990/2/13,6.953125,6.953125,6.828125,6.875,3.698909,3593600
1990/2/14,6.90625,6.953125,6.875,6.9375,3.732534,3696800
1990/2/15,6.90625,7.046875,6.90625,7.046875,3.791384,3306400
1990/2/16,7.046875,7.046875,6.90625,6.9375,3.732534,5685600
1990/2/20,6.90625,6.90625,6.6875,6.8125,3.665283,4844000
1990/2/21,6.6875,6.75,6.6875,6.71875,3.614841,5664000
1990/2/22,6.75,6.78125,6.640625,6.640625,3.572809,3593600
1990/2/23,6.640625,6.65625,6.5,6.515625,3.505558,8368800
1990/2/26,6.5625,6.6875,6.5,6.671875,3.589622,4156800
1990/2/27,6.6875,6.75,6.65625,6.671875,3.589622,4815200
1990/2/28,6.640625,6.765625,6.640625,6.703125,3.606438,6101600
1990/3/1,6.734375,6.828125,6.71875,6.75,3.631655,3040800
1990/3/2,6.8125,6.875,6.765625,6.875,3.698909,4353600
1990/3/5,6.875,6.9375,6.765625,6.765625,3.64006,4536000
1990/3/6,6.796875,6.921875,6.796875,6.90625,3.715724,4117600
1990/3/7,6.96875,6.96875,6.875,6.90625,3.715724,3157600
1990/3/8,6.96875,7,6.921875,6.984375,3.757755,3329600
1990/3/9,6.953125,6.96875,6.90625,6.953125,3.740943,3087200
1990/3/12,6.90625,6.9375,6.828125,6.921875,3.724128,2899200
1990/3/13,6.90625,6.921875,6.78125,6.796875,3.656876,3235200
1990/3/14,6.828125,6.90625,6.8125,6.890625,3.707315,4241600
1990/3/15,6.90625,7.15625,6.875,7.109375,3.825009,8206400
1990/3/16,7.140625,7.1875,7.09375,7.15625,3.850229,13574400
1990/3/19,7.078125,7.15625,7.078125,7.125,3.833415,4110400
1990/3/20,7.125,7.125,7.015625,7.046875,3.791384,4452800
1990/3/21,7.015625,7.09375,6.984375,6.984375,3.757755,2240000
1990/3/22,7.015625,7.046875,6.828125,6.859375,3.690502,4945600
1990/3/23,6.90625,6.984375,6.875,6.96875,3.749349,3143200
1990/3/26,6.984375,7.03125,6.96875,6.984375,3.757755,3404000
1990/3/27,6.984375,7.1875,6.9375,7.140625,3.841823,3596000
1990/3/28,7.171875,7.1875,7.09375,7.140625,3.841823,2716000
1990/3/29,7.140625,7.15625,7.0625,7.078125,3.808196,4065600
1990/3/30,7.09375,7.09375,7,7.015625,3.77457,3392800
1990/4/2,6.96875,7.03125,6.9375,7.015625,3.77457,3212000
1990/4/3,7.046875,7.21875,7.015625,7.203125,3.875447,4440800
1990/4/4,7.234375,7.296875,7.0625,7.09375,3.816603,5109600
1990/4/5,7.171875,7.234375,7.125,7.140625,3.841823,5328000
1990/4/6,7.171875,7.1875,7.015625,7.140625,3.841823,3004000
1990/4/9,7.140625,7.296875,7.125,7.265625,3.909073,4144000
1990/4/10,7.1875,7.296875,7.171875,7.265625,3.909073,3089600
1990/4/11,7.3125,7.375,7.28125,7.28125,3.917481,3565600
1990/4/12,7.203125,7.328125,7.171875,7.328125,3.9427,7604800
1990/4/16,7.40625,7.421875,7.28125,7.296875,3.925887,4822400
1990/4/17,7.25,7.421875,7.234375,7.390625,3.976327,4045600
1990/4/18,7.375,7.40625,7.296875,7.328125,3.9427,5266400
1990/4/19,7.1875,7.328125,7.1875,7.265625,3.909073,4676000
1990/4/20,7.296875,7.3125,7.21875,7.28125,3.917481,8176800
1990/4/23,7.28125,7.28125,7.125,7.140625,3.841823,4032000
1990/4/24,7.171875,7.203125,7.046875,7.078125,3.808196,4395200
1990/4/25,7.09375,7.140625,7.03125,7.0625,3.799788,5257600
1990/4/26,7.09375,7.15625,7.03125,7.140625,3.841823,4712000
1990/4/27,7.15625,7.1875,7,7.046875,3.791384,4312000
1990/4/30,7,7.078125,6.953125,7.078125,3.808196,5119200
1990/5/1,7.125,7.203125,7.09375,7.15625,3.850229,4491200
1990/5/2,7.140625,7.28125,7.125,7.28125,3.917481,4460000
1990/5/3,7.296875,7.34375,7.234375,7.25,3.900668,5130400
1990/5/4,7.34375,7.390625,7.265625,7.375,3.967921,4731200
1990/5/7,7.375,7.4375,7.34375,7.421875,3.99314,3360000
1990/5/8,7.4375,7.4375,7.375,7.40625,3.984732,3875200
1990/5/9,7.390625,7.421875,7.28125,7.296875,3.925887,6946400
1990/5/10,7.328125,7.390625,7.28125,7.34375,3.951109,5289600
1990/5/11,7.390625,7.53125,7.34375,7.5,4.035174,11144800
1990/5/14,7.5,7.65625,7.5,7.578125,4.077205,10726400
1990/5/15,7.578125,7.640625,7.53125,7.625,4.102426,4568800
1990/5/16,7.625,7.65625,7.515625,7.609375,4.116966,5828800
1990/5/17,7.625,7.6875,7.59375,7.65625,4.142327,5177600
1990/5/18,7.65625,7.65625,7.546875,7.59375,4.108512,7778400
1990/5/21,7.578125,7.734375,7.5625,7.71875,4.176141,5252800
1990/5/22,7.75,7.828125,7.65625,7.765625,4.201504,8048000
1990/5/23,7.765625,7.796875,7.703125,7.78125,4.209959,4568000
1990/5/24,7.8125,7.9375,7.75,7.9375,4.294496,7586400
1990/5/25,7.875,7.890625,7.8125,7.828125,4.235318,4137600
1990/5/29,7.875,7.984375,7.84375,7.96875,4.311401,4101600
1990/5/30,8,8.046875,7.9375,8.015625,4.336765,5363200
1990/5/31,7.984375,8.015625,7.96875,7.984375,4.319857,4316800
1990/6/1,8.0625,8.0625,7.96875,8.03125,4.345218,3874400
1990/6/4,8.03125,8.15625,7.96875,8.140625,4.404395,4662400
1990/6/5,8.15625,8.21875,8.140625,8.15625,4.412848,7432800
1990/6/6,8.125,8.140625,8.03125,8.078125,4.370579,5090400
1990/6/7,8.0625,8.09375,8,8.03125,4.345218,4103200
1990/6/8,8.03125,8.046875,7.859375,7.875,4.260679,3192800
1990/6/11,7.890625,8,7.890625,8,4.328312,4662400
1990/6/12,8.03125,8.125,7.921875,8.125,4.395939,6276800
1990/6/13,8.125,8.15625,8.046875,8.09375,4.379032,4232000
1990/6/14,8.0625,8.0625,7.984375,7.984375,4.319857,3385600
1990/6/15,7.9375,8.046875,7.921875,8.046875,4.353673,11009600
1990/6/18,8,8.015625,7.90625,7.921875,4.286041,3864800
